"Esd";"GKY_S";"GKX_S"
1377;403132;49869
1378;402629;50409
1379;557022;133199
1380;403909;49473
1381;470704;120305
1382;402604;51091
1383;500152;113980
1384;408920;41365
1385;407067;41170
1386;559885;132100
1387;409683;43506
1388;410281;40968
1389;410127;42576
1390;456280;127617
1391;407842;41883
1392;399063;44466
1393;402877;44229
1394;403171;41762
1395;403554;43127
1396;404046;43596
1397;402948;50070
1398;404656;48416
1399;400170;40273
1400;539966;121276
1401;398958;42571
1402;399254;36645
1403;556058;133547
1404;557237;133984
1405;399462;36389
1406;401645;38465
1407;402961;40137
1408;404506;41543
1409;406655;41066
1410;408434;34570
1411;550306;157941
1412;414198;46311
1413;508773;161838
1414;414858;44135
1415;418992;35601
1416;425074;95592
1417;405062;44587
1418;403750;45022
1419;413344;43269
1420;400246;44996
1421;404988;42254
1422;401565;48993
1423;404507;45635
1424;414204;46061
1425;415050;44516
1426;410795;35058
1427;481901;119605
1428;405794;37538
1429;401558;38152
1430;412103;42272
1431;406531;41043
1432;410934;48364
1433;407025;48408
1434;406607;44527
1435;403068;40196
1436;409559;45391
1437;400173;45061
1438;404120;44911
1439;408713;43140
1440;417492;77816
1441;476646;119873
1442;406266;41653
1443;401879;44201
1444;400144;40324
1445;405714;37450
1446;407647;45700
1447;398833;42182
1448;405276;38971
1449;405859;39253
1450;410461;35522
1451;401652;37859
1452;401564;38126
1453;401636;37945
1454;414978;42513
1455;402915;40220
1456;410948;39958
1457;412921;44725
1458;412562;33706
1459;544747;130114
1460;400192;37635
1461;410615;45341
1462;407708;41989
1463;414475;39164
1464;400163;40279
1465;406612;36193
1466;408196;39123
1467;414965;41751
1468;411528;35856
1469;415097;42620
1470;599640;153808
1471;581473;154029
1472;578486;153187
1473;581418;154091
1474;595444;163357
1475;571981;163956
1476;573201;165822
1477;611358;157786
1478;611342;159914
1479;563553;158787
1480;562756;159904
1481;562059;160092
1482;562915;158423
1483;613713;158533
1484;578655;158777
1485;580909;155727
1486;496096;115084
1487;514386;125272
1488;477905;113867
1489;480583;110222
1490;404177;45167
1491;538324;113753
1492;482657;119074
1493;406417;38598
1494;410702;34681
1495;537835;116104
1496;407645;45619
1497;404180;39317
1498;540308;114736
1499;416910;35434
1500;398863;42269
1501;482715;119155
1502;540277;123587
1503;483074;117088
1504;482970;117158
1505;475302;121709
1506;540868;114873
1507;470563;121356
1508;415849;37559
1509;538273;116133
1510;410893;39918
1511;411275;32873
1512;473669;121262
1513;491822;118974
1514;413435;80280
1515;537781;116073
1516;410166;36135
1517;491830;119046
1518;541262;121808
1519;573236;141913
1520;407327;35433
1521;572861;141946
1522;412410;36455
1523;415103;41671
1524;577731;146227
1525;403616;39300
1526;405227;38967
1527;456701;129195
1528;407275;36203
1529;404421;37585
1530;403013;40196
1531;411002;37100
1532;408956;38043
1533;409810;40321
1534;470391;120199
1535;470441;120243
1536;409250;34148
1537;577351;145489
1538;405203;38937
1539;405159;38902
1540;405389;39162
1541;390785;123600
1542;489606;96731
1543;414991;42682
1544;569747;142141
1545;412280;43754
1546;408493;33219
1547;405325;45469
1548;408858;39547
1549;575882;137952
1550;563951;147974
1551;565219;147409
1552;384448;123995
1553;412841;45735
1554;570446;146015
1555;414317;45947
1556;563176;147668
1557;414257;45925
1558;414219;45973
1559;404194;39324
1560;404135;43652
1561;562832;148213
1562;415355;83295
1563;487925;58364
1564;489488;55067
1565;425119;56499
1566;421875;59322
1567;549490;121623
1568;554350;120835
1569;526878;115527
1570;525719;117520
1571;492534;70958
1572;489521;70160
1573;462950;100769
1574;468742;131585
1575;394724;105493
1576;550350;157341
1577;551524;100312
1578;461587;101098
1579;450668;122387
1580;482415;89550
1581;470136;99983
1582;401195;45497
1583;462486;100979
1584;462063;100955
1585;461922;101018
1586;436634;133645
1587;499134;161321
1588;463458;99407
1589;461954;100422
1590;460509;101368
1591;462328;101497
1592;549387;121762
1593;549596;121581
1594;447306;102816
1595;524682;42033
1596;522629;42808
1597;519605;44524
1598;526755;120107
1599;501381;76070
1600;501764;73808
1602;486086;76011
1603;485518;76405
1604;487537;73883
1605;465251;55844
1606;490903;40853
1607;489135;42929
1608;491631;42137
1609;438978;137234
1610;441761;135556
1611;438359;137969
1612;438729;137025
1613;452445;74869
1614;451564;76723
1615;450628;78870
1616;452081;77779
1617;453486;75334
1618;454186;74803
1619;452478;75092
1620;521716;80334
1621;520374;78944
1622;522580;81967
1623;523541;81877
1624;522458;80804
1625;444443;124444
1626;446918;123919
1627;485233;114720
1628;485449;114107
1629;430296;137651
1630;462213;69357
1631;463197;68602
1632;463239;66703
1633;465607;67824
1634;464783;69777
1635;464009;69240
1636;459750;69783
1637;463261;72748
1638;459955;71236
1639;462488;71222
1640;462471;73639
1641;428828;134408
1642;429574;133009
1643;419738;126061
1644;417827;126324
1645;421734;125801
1646;483484;44756
1647;482733;45670
1648;486228;42320
1649;451205;85962
1650;451442;88386
1651;453573;84936
1652;450287;83449
1653;522175;96665
1654;518826;95444
1655;523924;94015
1656;521052;99566
1657;525548;95253
1658;520470;96115
1659;519512;99781
1660;521431;97207
1661;476116;113981
1662;477720;113780
1663;476633;113040
1664;475317;113044
1665;476630;111730
1666;475341;114628
1667;435290;139398
1668;433133;139186
1669;436914;137987
1670;434525;139963
1671;435718;137495
1672;433734;140606
1673;454479;97963
